cell | V (mV),INa | xina (nA_per_nF)
19.9398,8.39E-10
19.9202,9.51E-10
19.9007,1.33E-09
19.8813,1.71E-09
19.8619,2.08E-09
19.8426,2.44E-09
19.8233,2.79E-09
19.8041,3.13E-09
19.785,3.44E-09
19.7659,3.73E-09
19.7469,3.98E-09
19.728,4.21E-09
19.7091,4.40E-09
19.6903,4.55E-09
19.6716,4.65E-09
19.6529,4.70E-09
19.6343,4.69E-09
19.6158,4.63E-09
19.5973,4.49E-09
19.5789,4.29E-09
19.5605,4.06E-09
19.5422,4.01E-09
19.524,3.94E-09
19.5058,3.85E-09
19.4877,3.74E-09
19.4696,3.61E-09
19.4517,3.46E-09
19.4337,3.30E-09
19.4159,3.13E-09
19.3981,2.94E-09
19.3803,2.75E-09
19.3626,2.55E-09
19.345,2.35E-09
19.3275,2.15E-09
19.31,1.96E-09
19.2925,1.77E-09
19.2751,1.60E-09
19.2578,1.45E-09
19.2405,1.32E-09
19.2233,1.19E-09
19.2062,9.34E-10
19.1891,6.76E-10
19.1721,4.19E-10
19.1551,1.66E-10
19.1382,-8.20E-11
19.1214,-3.22E-10
19.1046,-5.51E-10
19.0878,-7.68E-10
19.0712,-9.69E-10
19.0545,-1.15E-09
19.038,-1.31E-09
19.0215,-1.45E-09
19.005,-1.56E-09
18.9886,-1.64E-09
18.9723,-1.69E-09
18.956,-1.70E-09
18.9398,-1.67E-09
18.9236,-1.59E-09
18.9075,-1.49E-09
18.8914,-1.51E-09
18.8754,-1.53E-09
18.8595,-1.53E-09
18.8436,-1.52E-09
18.8278,-1.49E-09
18.812,-1.46E-09
18.7963,-1.41E-09
18.7806,-1.36E-09
18.765,-1.29E-09
18.7494,-1.22E-09
18.7339,-1.14E-09
18.7185,-1.05E-09
18.7031,-9.65E-10
18.6877,-8.74E-10
18.6724,-7.81E-10
18.6572,-6.90E-10
18.642,-6.02E-10
18.6269,-5.20E-10
18.6118,-4.41E-10
18.5967,-3.05E-10
18.5818,-1.67E-10
18.5668,-2.77E-11
18.552,1.12E-10
18.5371,2.49E-10
18.5224,3.84E-10
18.5077,5.14E-10
18.493,6.38E-10
18.4784,7.54E-10
18.4638,8.60E-10
18.4493,9.55E-10
18.4348,1.04E-09
18.4204,1.10E-09
18.406,1.15E-09
18.3917,1.18E-09
18.3775,1.18E-09
18.3633,1.16E-09
18.3491,1.12E-09
18.335,1.04E-09
18.3209,1.06E-09
18.3069,1.08E-09
18.2929,1.09E-09
18.279,1.09E-09
18.2652,1.08E-09
18.2513,1.07E-09
18.2376,1.05E-09
18.2238,1.02E-09
18.2102,9.84E-10
18.1965,9.45E-10
18.183,9.01E-10
18.1694,8.52E-10
18.1559,7.99E-10
18.1425,7.43E-10
18.1291,6.83E-10
18.1158,6.23E-10
18.1025,5.61E-10
18.0892,4.99E-10
18.076,4.39E-10
18.0629,3.56E-10
18.0498,2.69E-10
18.0367,1.82E-10
18.0237,9.40E-11
18.0107,6.40E-12
17.9978,-8.00E-11
17.9849,-1.64E-10
17.9721,-2.45E-10
17.9593,-3.22E-10
17.9465,-3.93E-10
17.9338,-4.58E-10
17.9212,-5.15E-10
17.9086,-5.63E-10
17.896,-6.01E-10
17.8835,-6.27E-10
17.871,-6.39E-10
17.8586,-6.37E-10
17.8462,-6.18E-10
17.8339,-5.81E-10
17.8215,-5.98E-10
17.8093,-6.17E-10
17.7971,-6.32E-10
17.7849,-6.42E-10
17.7728,-6.48E-10
17.7607,-6.49E-10
