fast_sodium_current | i_Na (picoA_per_picoF),membrane | V (millivolt)
-4.99635e-06,-85.6361
-4.99723e-06,-85.6358
-4.9981e-06,-85.6355
-4.99897e-06,-85.6353
-4.99984e-06,-85.635
-5.00071e-06,-85.6347
-5.00157e-06,-85.6344
-5.00243e-06,-85.6342
-5.00329e-06,-85.6339
-5.00414e-06,-85.6336
-5.00499e-06,-85.6334
-5.00584e-06,-85.6331
-5.00669e-06,-85.6328
-5.00754e-06,-85.6326
-5.00838e-06,-85.6323
-5.00922e-06,-85.632
-5.01005e-06,-85.6318
-5.01089e-06,-85.6315
-5.01172e-06,-85.6312
-5.01255e-06,-85.631
-5.01337e-06,-85.6307
-5.0142e-06,-85.6304
-5.01502e-06,-85.6302
-5.01584e-06,-85.6299
-5.01665e-06,-85.6297
-5.01747e-06,-85.6294
-5.01828e-06,-85.6292
-5.01909e-06,-85.6289
-5.01989e-06,-85.6287
-5.02069e-06,-85.6284
-5.0215e-06,-85.6281
-5.02229e-06,-85.6279
-5.02309e-06,-85.6276
-5.02388e-06,-85.6274
-5.02467e-06,-85.6271
-5.02546e-06,-85.6269
-5.02625e-06,-85.6266
-5.02703e-06,-85.6264
-5.02781e-06,-85.6262
-5.02859e-06,-85.6259
-5.02936e-06,-85.6257
-5.03014e-06,-85.6254
-5.03091e-06,-85.6252
-5.03167e-06,-85.6249
-5.03244e-06,-85.6247
-5.0332e-06,-85.6245
-5.03396e-06,-85.6242
-5.03472e-06,-85.624
-5.03548e-06,-85.6237
-5.03623e-06,-85.6235
-5.03698e-06,-85.6233
-5.03773e-06,-85.623
-5.03847e-06,-85.6228
-5.03922e-06,-85.6226
-5.03996e-06,-85.6223
-5.0407e-06,-85.6221
-5.04143e-06,-85.6219
-5.04217e-06,-85.6216
-5.0429e-06,-85.6214
-5.04363e-06,-85.6212
-5.04435e-06,-85.6209
-5.04508e-06,-85.6207
-5.0458e-06,-85.6205
-5.04652e-06,-85.6203
-5.04723e-06,-85.62
-5.04795e-06,-85.6198
-5.04866e-06,-85.6196
-5.04937e-06,-85.6194
-5.05008e-06,-85.6191
-5.05078e-06,-85.6189
-5.05148e-06,-85.6187
-5.05218e-06,-85.6185
-5.05288e-06,-85.6183
-5.05358e-06,-85.618
-5.05427e-06,-85.6178
-5.05496e-06,-85.6176
-5.05565e-06,-85.6174
-5.05634e-06,-85.6172
-5.05702e-06,-85.617
-5.0577e-06,-85.6167
-5.05838e-06,-85.6165
-5.05905e-06,-85.6163
-5.05973e-06,-85.6161
-5.0604e-06,-85.6159
-5.06107e-06,-85.6157
-5.06174e-06,-85.6155
-5.0624e-06,-85.6153
-5.06306e-06,-85.6151
-5.06372e-06,-85.6149
-5.06438e-06,-85.6146
-5.06503e-06,-85.6144
-5.06569e-06,-85.6142
-5.06634e-06,-85.614
-5.06698e-06,-85.6138
-5.06763e-06,-85.6136
-5.06827e-06,-85.6134
-5.06892e-06,-85.6132
-5.06955e-06,-85.613
-5.07019e-06,-85.6128
-5.07083e-06,-85.6126
-5.07146e-06,-85.6124
-5.07209e-06,-85.6122
-5.07272e-06,-85.612
-5.07334e-06,-85.6118
-5.07396e-06,-85.6116
-5.07459e-06,-85.6114
-5.0752e-06,-85.6112
-5.07582e-06,-85.611
-5.07644e-06,-85.6108
-5.07705e-06,-85.6107
-5.07766e-06,-85.6105
-5.07827e-06,-85.6103
-5.07887e-06,-85.6101
-5.07948e-06,-85.6099
-5.08008e-06,-85.6097
-5.08068e-06,-85.6095
-5.08127e-06,-85.6093
-5.08187e-06,-85.6091
-5.08246e-06,-85.609
-5.08305e-06,-85.6088
-5.08364e-06,-85.6086
-5.08423e-06,-85.6084
-5.08481e-06,-85.6082
-5.0854e-06,-85.608
-5.08598e-06,-85.6078
-5.08656e-06,-85.6077
-5.08713e-06,-85.6075
-5.08771e-06,-85.6073
-5.08828e-06,-85.6071
-5.08885e-06,-85.6069
-5.08942e-06,-85.6068
-5.08999e-06,-85.6066
-5.09055e-06,-85.6064
-5.09112e-06,-85.6062
-5.09168e-06,-85.6061
-5.09224e-06,-85.6059
-5.0928e-06,-85.6057
-5.09335e-06,-85.6055
-5.09391e-06,-85.6054
-5.09446e-06,-85.6052
-5.09501e-06,-85.605
-5.09556e-06,-85.6048
-5.09611e-06,-85.6047
-5.09665e-06,-85.6045
-5.0972e-06,-85.6043
-5.09774e-06,-85.6042
-5.09827e-06,-85.604
-5.09881e-06,-85.6038
-5.09934e-06,-85.6037
-5.09987e-06,-85.6035
-5.1004e-06,-85.6033
-5.10092e-06,-85.6032
-5.10145e-06,-85.603
-5.10197e-06,-85.6028
-5.10249e-06,-85.6027
-5.103e-06,-85.6025
-5.10352e-06,-85.6024
-5.10403e-06,-85.6022
-5.10455e-06,-85.602
-5.10506e-06,-85.6019
-5.10556e-06,-85.6017
-5.10607e-06,-85.6016
-5.10657e-06,-85.6014
-5.10707e-06,-85.6012
-5.10757e-06,-85.6011
-5.10807e-06,-85.6009
-5.10857e-06,-85.6008
-5.10906e-06,-85.6006
-5.10955e-06,-85.6005
-5.11004e-06,-85.6003
-5.11053e-06,-85.6002
-5.11101e-06,-85.6
-5.1115e-06,-85.5999
-5.11198e-06,-85.5997
-5.11246e-06,-85.5996
-5.11293e-06,-85.5994
-5.11341e-06,-85.5993
-5.11388e-06,-85.5991
-5.11435e-06,-85.599
-5.11482e-06,-85.5988
-5.11529e-06,-85.5987
-5.11575e-06,-85.5985
-5.11622e-06,-85.5984
-5.11668e-06,-85.5982
-5.11714e-06,-85.5981
-5.11759e-06,-85.5979
-5.11805e-06,-85.5978
-5.1185e-06,-85.5977
-5.11895e-06,-85.5975
-5.1194e-06,-85.5974
-5.11985e-06,-85.5972
-5.1203e-06,-85.5971
-5.12074e-06,-85.5969
-5.12118e-06,-85.5968
-5.12162e-06,-85.5967
-5.12206e-06,-85.5965
-5.1225e-06,-85.5964
-5.12294e-06,-85.5963
-5.12337e-06,-85.5961
-5.1238e-06,-85.596
-5.12423e-06,-85.5959
-5.12466e-06,-85.5957
-5.12509e-06,-85.5956
-5.12551e-06,-85.5954
-5.12593e-06,-85.5953
-5.12636e-06,-85.5952
-5.12677e-06,-85.5951
-5.12719e-06,-85.5949
-5.12761e-06,-85.5948
-5.12802e-06,-85.5947
-5.12843e-06,-85.5945
-5.12884e-06,-85.5944
-5.12925e-06,-85.5943
-5.12966e-06,-85.5941
-5.13006e-06,-85.594
-5.13047e-06,-85.5939
-5.13087e-06,-85.5938
-5.13127e-06,-85.5936
-5.13166e-06,-85.5935
-5.13206e-06,-85.5934
-5.13245e-06,-85.5933
-5.13285e-06,-85.5931
-5.13324e-06,-85.593
-5.13363e-06,-85.5929
-5.13401e-06,-85.5928
-5.1344e-06,-85.5927
-5.13478e-06,-85.5925
-5.13517e-06,-85.5924
-5.13555e-06,-85.5923
-5.13593e-06,-85.5922
-5.1363e-06,-85.5921
-5.13668e-06,-85.5919
-5.13705e-06,-85.5918
